inst_name,ror_id,inst_first_seen,ins_last_seen,data_url,esac_id
TU Delft,https://ror.org/02e2c7k09,2022-05-02,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vStZArviZUh3P9Qj1NdWz-VSEWL2KSjKGu5PeGfXDlcf8GFRy6ccFHV1lceQcfb0q9aHQR8_aux5c_a/pub?gid=684626521&single=true&output=csv,acm2020delft
"Bauhaus University, Weimar",https://ror.org/033bb5z47,2022-07-29,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vTBaPl_lW4nI0jFxYMX-uPtnBh058Yn222zDgdCxQeVKr1EMdGTUb_TM6D8saoqUZ6GwNFTDDThzUM1/pub?gid=684626521&single=true&output=csv,acm2021hebis
Heinrich Heine University of Dusseldorf,https://ror.org/024z2rq82,2022-07-29,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vTBaPl_lW4nI0jFxYMX-uPtnBh058Yn222zDgdCxQeVKr1EMdGTUb_TM6D8saoqUZ6GwNFTDDThzUM1/pub?gid=684626521&single=true&output=csv,acm2021hebis
Otto-von-Guericke University / University of Magdeberg,https://ror.org/00ggpsq73,2022-07-29,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vTBaPl_lW4nI0jFxYMX-uPtnBh058Yn222zDgdCxQeVKr1EMdGTUb_TM6D8saoqUZ6GwNFTDDThzUM1/pub?gid=684626521&single=true&output=csv,acm2021hebis
Ruhr University Bochum,https://ror.org/04tsk2644,2022-07-29,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vTBaPl_lW4nI0jFxYMX-uPtnBh058Yn222zDgdCxQeVKr1EMdGTUb_TM6D8saoqUZ6GwNFTDDThzUM1/pub?gid=684626521&single=true&output=csv,acm2021hebis
Technical University of Dortmund,https://ror.org/01k97gp34,2022-07-29,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vTBaPl_lW4nI0jFxYMX-uPtnBh058Yn222zDgdCxQeVKr1EMdGTUb_TM6D8saoqUZ6GwNFTDDThzUM1/pub?gid=684626521&single=true&output=csv,acm2021hebis
University of Konstanz,https://ror.org/0546hnb39,2022-07-29,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vTBaPl_lW4nI0jFxYMX-uPtnBh058Yn222zDgdCxQeVKr1EMdGTUb_TM6D8saoqUZ6GwNFTDDThzUM1/pub?gid=684626521&single=true&output=csv,acm2021hebis
University of Mannheim,https://ror.org/031bsb921,2022-07-29,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vTBaPl_lW4nI0jFxYMX-uPtnBh058Yn222zDgdCxQeVKr1EMdGTUb_TM6D8saoqUZ6GwNFTDDThzUM1/pub?gid=684626521&single=true&output=csv,acm2021hebis
Fraunhofer-Gesellschaft,NA,NA,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vTBaPl_lW4nI0jFxYMX-uPtnBh058Yn222zDgdCxQeVKr1EMdGTUb_TM6D8saoqUZ6GwNFTDDThzUM1/pub?gid=684626521&single=true&output=csv,acm2021hebis
Ilmenau University of Technology,NA,NA,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vTBaPl_lW4nI0jFxYMX-uPtnBh058Yn222zDgdCxQeVKr1EMdGTUb_TM6D8saoqUZ6GwNFTDDThzUM1/pub?gid=684626521&single=true&output=csv,acm2021hebis
